ranking,world_rank,university,presence_rank,impact_rank,openness_rank,excellence_rank
171.0,3778.0,Mizoram University,9294.0,8783.0,3351.0,3470.0
172.0,3785.0,PEC University of Technology (Punjab Engineering College),10313.0,8882.0,1421.0,3766.0
173.0,3807.0,Anand Agricultural University,5888.0,8891.0,3215.0,3579.0
174.0,3811.0,Mohanlal Sukhadia University,7988.0,8803.0,4094.0,3434.0
175.0,3816.0,Hemwati Nandan Bahuguna Garhwal University,14000.0,9234.0,3149.0,3369.0
176.0,3822.0,Punjabi University,13438.0,7333.0,11400.0,2037.0
177.0,3829.0,Vardhman Mahavir Medical College,14729.0,7981.0,7557.0,2995.0
178.0,3839.0,National Institute of Technology Silchar,10986.0,7958.0,2994.0,3766.0
179.0,3841.0,Saint John's National Academy of Health Sciences India,17048.0,11233.0,6290.0,2410.0
180.0,3841.0,Hindustan University (Hindustan Institute of Technology & Management),8658.0,9230.0,4644.0,3265.0
181.0,3848.0,Sant Longowal Institute of Engineering and Technology,10925.0,11256.0,2963.0,2995.0
182.0,3852.0,Government Medical College & Hospital Chandigarh,13842.0,7768.0,5738.0,3402.0
183.0,3877.0,(1) Saveetha University,11189.0,12005.0,1279.0,3189.0
184.0,3911.0,University College of Medical Sciences,15403.0,10970.0,2575.0,3168.0
185.0,3941.0,(1) National Institute of Pharmaceutical Education and Research,19622.0,10929.0,11400.0,1386.0
186.0,3945.0,Yogi Vemana University,16296.0,11033.0,2823.0,3168.0
187.0,3958.0,West Bengal University of Technology,12663.0,8537.0,5056.0,3544.0
188.0,3975.0,Presidency University Kolkata,12228.0,9675.0,2543.0,3642.0
189.0,3987.0,Himachal Pradesh University,11846.0,6858.0,11400.0,2430.0
190.0,3994.0,Integral University,10404.0,13882.0,866.0,3089.0
191.0,3999.0,Mepco Schlenk Engineering College,5211.0,12639.0,3276.0,2995.0
192.0,4014.0,Rajasthan Technical University,11173.0,7621.0,3790.0,4016.0
193.0,4015.0,Pondicherry Engineering College,16489.0,11628.0,3688.0,2995.0
194.0,4022.0,National Brain Research Centre,15672.0,8405.0,2577.0,3959.0
195.0,4048.0,Shiv Nadar University,8737.0,1299.0,1751.0,6020.0
196.0,4056.0,Indian Veterinary Research Institute,8971.0,8453.0,11400.0,2241.0
197.0,4056.0,Graphic Era University,18474.0,11253.0,4339.0,3049.0
198.0,4062.0,Guru Angad Dev Veterinary & Animal Science University,11173.0,10518.0,3193.0,3544.0
199.0,4085.0,(1) PSG College of Technology,7098.0,16940.0,1720.0,2441.0
200.0,4088.0,National Institute of Mental Health and Neurosciences,27648.0,15717.0,2436.0,2002.0
201.0,4093.0,Coimbatore Institute of Technology,5550.0,13568.0,3193.0,2957.0
202.0,4106.0,University of Calicut,5926.0,5895.0,11400.0,2957.0
203.0,4148.0,Bannari Amman Institute of Technology,17624.0,11453.0,1779.0,3579.0
204.0,4157.0,L N M Institute of Information Technology Jaipur,14370.0,11095.0,3876.0,3402.0
205.0,4163.0,Guru Jambheshwar University of Science & Technology,9962.0,9298.0,11400.0,2187.0
206.0,4169.0,Manipur University,17329.0,9587.0,1507.0,4082.0
207.0,4172.0,Bangalore University,13544.0,7506.0,11400.0,2571.0
208.0,4176.0,Maharana Pratap University of Agriculture and Technology,8301.0,11587.0,3441.0,3470.0
209.0,4182.0,Assam Agricultural University,19053.0,8372.0,4768.0,3847.0
210.0,4206.0,Management Development Institute,13858.0,7646.0,3683.0,4256.0
211.0,4208.0,Swami Ramanand Teerth Marathwada University,5574.0,10247.0,4811.0,3683.0
